Resumo,Data,Descrição
Acesso antecipado aos sistemas eleitorais,10/06/2023,"Data a partir da qual é garantido às entidades fiscalizadoras o acesso antecipado aos sistemas eleitorais desenvolvidos pelo Tribunal Superior Eleitoral e o acompanhamento dos trabalhos para sua especificação e desenvolvimento, para fins de fiscalização e auditoria, em ambiente específico e sob a supervisão do TSE (Lei nº 9.504/1997, art. 66, § 1º, Res.-TSE nº 23.673/2021, art. 9º)."
Início do Teste Público de Segurança da Urna 2023,11/27/2023,"Início do Teste Público de Segurança da Urna 2023 (TPS) do sistema eletrônico de votação, realizado no Tribunal Superior Eleitoral (Res.-TSE nº 23.444/2015, art. 1°, § 1°)."
Término do Teste Público de Segurança da Urna 2023,12/01/2023,"Término do Teste Público de Segurança da Urna 2023 (TPS) no sistema eletrônico de votação, realizado no Tribunal Superior Eleitoral (Res.-TSE nº 23.444/2015, art. 1º, § 1º), com a demonstração dos resultados alcançados (Res.TSE nº 23.444/2015, art. 20, § 1º)."
Divulgação do resultado do Teste Público de Segurança da Urna 2023,12/15/2023,"Divulgação do resultado do Teste Público de Segurança da Urna 2023 (TPS) do sistema eletrônico de votação, pelo Tribunal Superior Eleitoral."
Último dia para designação de juízos eleitorais,12/19/2023,"Último dia para os tribunais regionais eleitorais designarem, para os Municípios onde houver mais de uma zona eleitoral, os juízos eleitorais que ficarão responsáveis pelo registro de candidaturas, pelo controle judicial das pesquisas eleitorais, pela fiscalização da propaganda eleitoral e procedimentos correlatos, pelo exame das prestações de contas, pela totalização dos resultados, pela diplomação das eleitas e dos eleitos, pela apreciação das representações, das reclamações e dos pedidos de direito de resposta e investigações judiciais eleitorais (Lei nº 9.504/1997, art. 96, § 2º; Res.-TSE nº 23.608/2019, art. 2º, I)."
Início do registro de pesquisas eleitorais,01/01/2024,"Data a partir da qual as entidades ou empresas que realizarem pesquisas de opinião pública relativas às eleições ou às possíveis candidatas ou candidatos, para conhecimento público, ficam obrigadas a registrar no Sistema de Registro de Pesquisas Eleitorais (PesqEle), até 5 (cinco) dias antes da divulgação, para cada pesquisa, as informações previstas em lei e na Res.-TSE nº 23.600/2019, que dispõe sobre pesquisas eleitorais (Lei nº 9.504/1997, art. 33, caput e § 1º, e Res.-TSE nº 23.600/2019, art. 2º)."
Proibição de distribuição gratuita de bens,01/01/2024,"Data a partir da qual, até 31 de dezembro de 2024, fica proibido distribuir gratuitamente bens, valores ou benefícios por parte da Administração Pública, exceto nos casos de calamidade pública, estado de emergência ou programas sociais autorizados em lei e já em execução orçamentária no exercício anterior, casos em que o Ministério Público poderá promover o acompanhamento de sua execução financeira e administrativa (Lei nº 9.504/1997, art. 73, § 10)."
Proibição de execução de programas sociais,01/01/2024,"Data a partir da qual não poderão ser executados programas sociais por entidade nominalmente vinculada a candidata(o) ou por essa(e) mantida, ainda que autorizados em lei e já em execução orçamentária no exercício anterior (Lei nº 9.504/1997, art. 73, § 1º)."
Proibição de empenho de despesas com publicidade,01/01/2024,"Data a partir da qual e até o final do primeiro semestre, é proibido empenhar despesas com publicidade dos órgãos públicos federais, estaduais ou municipais, ou das respectivas entidades da Administração indireta, que excedam a 6 (seis) vezes a média mensal dos valores empenhados e não cancelados nos 3 (três) últimos anos que antecedem o pleito (Lei nº 9.504/1997, art. 73, VII)."
Data-limite para expedição de instruções relativas às eleições municipais,03/05/2024,"Data-limite para o Tribunal Superior Eleitoral expedir as instruções relativas às eleições municipais de 2024 (Lei nº 9.504/1997, art. 105, caput e § 3º)."
