Evento,Data
Primeiro turno das eleições municipais,10/06/2024
Segundo turno das eleições municipais (onde houver),10/27/2024
Data limite para inscrição de eleitores,05/08/2024
Data limite para consultas populares locais serem encaminhadas à Justiça Eleitoral,07/08/2024
Publicação dos nomes das Mesas Receptoras de Votos e de Justificativa,07/09/2024,08/07/2024
Data limite para nomeação de Mesas Receptoras em estabelecimentos penais,08/30/2024
Data limite para apresentação de justificativa à nomeação (5 dias após a publicação do edital), 09/04/2024
Publicação dos locais de votação,08/07/2024
Data limite para reclamação sobre locais de votação (3 dias após a publicação),08/10/2024
Data limite para indicação de membros da Comissão Especial de Transporte,08/27/2024
Data limite para instalação da Comissão Especial de Transporte,09/06/2024
Data limite para requisição de veículos para transporte de eleitores,09/06/2024
Divulgação do quadro geral de percursos e horários de transporte,09/21/2024
Data limite para transferência temporária de eleitores,08/22/2024
Data limite excepcional para transferência temporária de mesários e apoio logístico,08/30/2024
Data de início da consulta ao local de votação para eleitores transferidos,07/21/2024
Data de início da consulta ao local de votação geral,09/03/2024
Data limite para justificativa de ausência no dia da eleição(1º turno),12/05/2024 
Data limite para justificativa de ausência no dia da eleição(2º turno),01/07/2025
Data limite para processamento de justificativas no Cadastro Eleitoral,12/11/2024
Data limite para manutenção das urnas e mídias após as eleições,01/14/2025
